symbol,turnover24h,age_days,exit_method,exit_score,exit_selection_note,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_profit_factor,validation_sell_early_median_6h,eligibility_tier,eligible,score
MANAUSDT,461250.5685,1730.5893681828704,structure_fixed6,1.0,best_daily_stop_exit_validation_score,77,0.0850778656163893,0.001154790278706139,-0.005005042788291502,0.38961038961038963,-0.07842564928728812,0.07987568963627578,16,0.004817384102670186,0.0003607302914287185,-0.004659548972143212,0.4375,1.0918853079496378,0.009582799258102792,relaxed,True,0.22573076923076926
CETUSUSDT,42761.1305,911.4337779050926,structure_fixed6,1.0,best_daily_stop_exit_validation_score,48,0.08096322218857632,0.0017453183606990104,-0.0048798208300999115,0.3958333333333333,-0.0881738911396539,0.06915478768503447,16,0.011044644460798336,0.0007481782160706427,-0.004512518233791617,0.375,1.1775727217406389,0.012312417794746011,relaxed,True,0.22426923076923075
INUSDT,403273.4993,362.1608843865741,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,47,0.08158743650004907,0.0018144179981410492,-0.004700543566761749,0.46808510638297873,-0.07029833831125265,0.0747560258220965,15,0.006356243197359168,0.0005234559636627001,-0.006730561979583548,0.4,1.087975161342646,0.015055254554289244,relaxed,True,0.22028846153846154
WALUSDT,284235.0455,495.16858114583334,structure_atr_trail_1.5,1.0,best_daily_stop_exit_validation_score,69,0.013159184350496123,0.0002608429701131249,-0.0017685935198823435,0.4492753623188406,-0.0962135827106454,0.003878494109648356,18,0.009244834205835772,0.0005468522348446982,0.0013046201466646598,0.6111111111111112,1.172947302877189,0.012024780045640449,relaxed,True,0.19526923076923078
ALICEUSDT,72938.1054,1744.5893681828704,structure_time_staged_mfe,0.7499999999999998,best_daily_stop_exit_validation_score,56,0.0063886029640822795,0.00017332663561648757,0.0017896333902986958,0.5357142857142857,-0.0504204652444904,0.0007714797250486516,14,0.005612793082969025,0.0004338667957148727,-0.0015550178018964847,0.5,1.1293568954309865,0.017693731363745524,relaxed,True,0.18619230769230768
PUNDIXUSDT,87329.2762,461.1227015162037,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,50,0.04520105533247154,0.000965703108945686,-0.004781829566567085,0.36,-0.049482476109027895,0.04048247194724275,14,0.004534995554896781,0.00037906028855779134,-0.004781829566567085,0.35714285714285715,1.0916069949414005,0.009018613769799289,relaxed,True,0.18082692307692308
MAVUSDT,60950.8642,1133.186486238426,structure_mfe30_act075,1.0,best_daily_stop_exit_validation_score,66,0.010857383812957977,0.00020228662232829134,0.0022208911774812554,0.6060606060606061,-0.05461877469525345,0.006669229445996017,21,0.004160407653729825,0.00026749816705916643,-0.004779757803579753,0.47619047619047616,1.0700112108718778,0.010028436643946037,relaxed,True,0.1803076923076923
IOTXUSDT,123457.3578,1726.5893681828704,structure_atr_trail_1.5,1.0,best_daily_stop_exit_validation_score,51,0.017133584456966444,0.00040316604748935397,-0.0017517038620874495,0.47058823529411764,-0.10191738620699498,0.00782911141904541,14,0.009232193168958958,0.000679407940275918,0.001083121590416237,0.5714285714285714,1.2639549228618603,0.008871410114009937,relaxed,True,0.16475
AVAUSDT,92541.1357,596.1646806828704,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,33,0.022623533547738495,0.0007908816235335556,-0.005980729886752466,0.30303030303030304,-0.07200172610033762,0.010581307096596104,14,0.011916138134139498,0.0009378788718909673,-0.005911514732453548,0.35714285714285715,1.2030823111079274,0.006352421596049429,relaxed,True,0.1617115384615385
DBRUSDT,73598.5946,656.1434191087963,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,40,0.04506688407205939,0.001202359985440646,-0.004907556100809284,0.4,-0.08153881814750807,0.040234153307264986,7,0.004645810512401871,0.000722269189492808,-0.004834945506011267,0.2857142857142857,1.1699439433665968,0.007169382383525935,relaxed,True,0.15028846153846154
EDENUSDT,860998.747,308.10089596064813,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,56,0.016401809741086515,0.0005130898791073725,-0.00815906770758923,0.32142857142857145,-0.1058600670414096,0.008850309548772861,21,0.007485253382824242,0.0004660961578372147,-0.005913491939912862,0.3333333333333333,1.0768376660138994,0.014870902122127161,relaxed,True,0.13038461538461538
CLUSDT,77910899.2008,133.2662200347222,structure_atr_trail_1.5,1.0,best_daily_stop_exit_validation_score,39,0.01684747273142917,0.0005129675389644453,-0.00266391776292929,0.2564102564102564,-0.07198411088271617,0.01462362731734057,16,0.0021917934436122,0.0002245072946637787,-0.0033695305507456244,0.25,1.0553772203687641,0.0074581354381692,relaxed,True,0.12713461538461543
